"ÿ??
ÿÿÿÿÿÿÿÿ?",ÿÿÿ??ÿÿ?,ÿÿÿÿÿÿÿÿÿ,ÿÿÿ??ÿ,"ÿ??
ÿÿ?ÿÿÿ?
ÿ??ÿÿ?ÿÿ",ÿÿÿÿÿÿ,ÿÿÿÿÿÿÿÿÿ?,ÿÿÿÿÿÿÿÿÿ?,ÿÿÿÿÿ,ÿÿ?ÿÿÿÿ?,ÿÿÿÿ?ÿÿÿ,"ÿÿ?ÿÿÿÿ?ÿÿ?/
ÿÿÿÿÿ?",ÿÿÿ?ÿÿÿ/ÿ?ÿÿÿÿ,2 ÿ?ÿ?ÿÿÿ,3 ÿ?ÿ?ÿÿÿ,4-9 ÿ?ÿ?ÿÿÿ,10 ÿ?ÿ?ÿÿÿ/ÿÿÿ?ÿÿÿ,ÿÿ?ÿÿÿÿÿÿÿÿÿÿÿÿÿ?,ÿÿ?ÿÿÿÿÿ?/ÿ?ÿÿ? ÿÿÿÿÿÿÿÿÿ,ÿÿ?ÿÿÿÿÿ?/ÿ?ÿÿ?ÿÿÿÿÿÿÿÿÿÿÿÿÿÿ???,ÿÿ??ÿÿÿ?ÿ,ÿ?ÿ??ÿÿÿ?ÿÿ,ÿÿ?ÿÿÿÿÿ?ÿ,ÿÿÿÿÿ,ÿÿÿ?ÿ,ÿÿÿÿ??ÿÿ,ÿ??ÿ,ÿÿÿÿ?,ÿÿÿÿ?ÿ,ÿ??ÿ?,ÿ?ÿ?ÿ,ÿ?ÿ?ÿ,ÿ?ÿÿ?,ÿÿÿ?ÿ,ÿÿ??ÿ?,ÿ?ÿ?ÿ,latitude,longitude
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿÿ?ÿÿ,ÿÿÿ?ÿ?,ÿÿÿÿÿÿ,2,ÿÿÿÿÿÿ,81030502,,/,,/,,/,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,,,,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,,ÿÿÿÿ?,,,7.568129,99.035735
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ?ÿÿ,ÿ?ÿÿ,ÿÿÿÿÿÿ,2,ÿ?,81020102,,/,,,,,,/,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,ÿÿÿÿ?,,ÿÿÿÿ?,,,,,,,,8.189044,99.034432
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ?ÿÿ,ÿ?ÿÿ,ÿÿÿÿÿÿ,4,ÿ?ÿÿ,81020104,,,,/,,,,/,,,,/,,,,,,,ÿÿÿÿ?,,,,,,,,,,8.209112,99.031589
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ?ÿÿ,ÿ?ÿÿ,ÿÿÿÿÿÿ,6,??ÿÿÿ?,81020106,,,/,/,,,,/,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,ÿÿÿÿ?,,,,,,,,ÿÿÿÿ?,,8.228249,99.034116
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ?ÿÿ,?ÿÿÿ,ÿÿÿÿÿÿ,1,ÿÿÿÿÿÿ,81020601,,/,,,,,,/,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,ÿÿÿÿ?,,,,8.236012,99.281642
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ?ÿÿ,?ÿÿÿ,ÿÿÿÿÿÿ,2,?ÿÿÿ,81020602,,/,,/,,,,/,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,,,,,,,,ÿÿÿÿ?,,ÿÿÿÿ?,,,8.230583,99.310822
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ?ÿÿ,ÿÿÿÿÿÿÿ,ÿÿÿÿÿÿ,5,?ÿÿ?,81020405,,,,/,,,/,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,8.285133,99.082978
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ?ÿÿ,ÿ?ÿ?,ÿÿÿÿÿÿ,5,ÿ?ÿÿ?ÿÿ,81020305,,,,/,,,,/,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,ÿÿÿÿ?,,,8.268150,99.332109
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ?ÿÿ,ÿ?ÿ?,ÿÿÿÿÿÿ,9,ÿÿ?,81020309,,/,,/,,,/,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,,,,,,,,ÿÿÿÿ?,,ÿÿÿÿ?,,,8.248149,99.233652
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ?ÿÿ,ÿ?ÿ?,ÿÿÿÿÿÿ,10,ÿÿ??,81020310,,,,/,,,,/,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,ÿÿÿÿ?,,,8.289907,99.278735
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿ?ÿÿÿÿ,ÿÿ?ÿÿÿÿÿÿ,ÿÿÿÿÿÿ,2,ÿÿ?ÿÿÿÿÿÿ,81040102,,,/,/,,/,,,,,/,,ÿÿÿÿ?,,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,ÿÿÿÿ?,,,,,,,7.937702,99.144054
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿ?ÿÿÿÿ,ÿÿ?ÿÿ,ÿÿÿÿÿÿ,3,ÿÿ?ÿÿ,81040303,,/,,,,,,/,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,,,,,,ÿÿÿÿ?,,,,,,,7.807682,99.210875
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿ?ÿÿÿÿ,ÿÿ??ÿÿ,ÿÿÿÿÿÿ,1,ÿ?ÿ?,81040601,,/,,/,,,/,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,8.071066,99.244579
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿ?ÿÿÿÿ,ÿÿ??ÿÿ,ÿÿÿÿÿÿ,3,ÿÿÿÿÿ?ÿÿÿ,81040603,,/,,/,,,/,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,8.032041,99.173819
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿ?ÿÿÿÿ,ÿÿ??ÿÿ,ÿÿÿÿÿÿ,4,ÿ?,81040604,,,,/,,,,/,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,ÿÿÿÿ?,,ÿÿÿÿ?,,,8.014820,99.237654
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿ?ÿÿÿÿ,ÿÿ??ÿÿ,ÿÿÿÿÿÿ,6,ÿÿÿ,81040606,,,,/,,,,/,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,ÿÿÿÿ?,,ÿÿÿÿ?,,,8.032305,99.252149
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿ?ÿÿÿÿ,ÿÿ??ÿÿ,ÿÿÿÿÿÿ,8,ÿÿ?ÿÿÿ?,81040608,,,,/,,,,/,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,ÿÿÿÿ?,,ÿÿÿÿ?,,,8.011806,99.265349
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿ?ÿÿÿÿ,ÿÿ??ÿÿ,ÿÿÿÿÿÿ,9,ÿ?ÿÿÿÿ?,81040609,,,,/,,,,/,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,ÿÿÿÿ?,,ÿÿÿÿ?,,,8.116332,99.220886
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿ?ÿÿÿÿ,ÿÿ??ÿÿ,ÿÿÿÿÿÿ,11,ÿÿ?ÿÿÿ?,81040611,,/,,/,,,/,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,8.071016,99.199300
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿ?ÿÿÿÿ,ÿ?ÿÿ,ÿÿÿÿÿÿ,2,ÿ?ÿÿÿ,81060302,,/,,/,/,,,,,,/,,ÿÿÿÿ?,,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,ÿÿÿÿ?,,8.639086,98.771105
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿ?ÿÿÿÿ,ÿ?ÿÿ,ÿÿÿÿÿÿ,4,ÿ?ÿÿ,81060304,,,,/,,,,/,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,,,,ÿÿÿÿ?,,,,,ÿÿÿÿ?,,,,8.571821,98.742219
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿ?ÿÿÿÿ,ÿ?ÿÿ,ÿÿÿÿÿÿ,5,ÿ?ÿ?,81060305,,/,,/,,,,/,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,,,,,,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,8.585444,98.760028
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿ?ÿÿÿÿ,ÿ?ÿÿ,ÿÿÿÿÿÿ,7,?ÿÿ,81060307,,/,,/,,,/,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,,,,ÿÿÿÿ?,,,,,ÿÿÿÿ?,,,,8.601582,98.747932
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿ?ÿÿÿÿ,ÿÿÿ?ÿÿÿÿ,ÿÿÿÿÿÿ,1,ÿ?ÿÿÿ,81060101,,/,,/,,/,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,8.511753,98.859641
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿ?ÿÿÿÿ,ÿÿÿ?ÿÿÿÿ,ÿÿÿÿÿÿ,2,ÿÿ?ÿ,81060102,,,/,/,/,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,8.493144,98.850863
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿ?ÿÿÿÿ,ÿÿÿ?ÿÿÿÿ,ÿÿÿÿÿÿ,5,ÿ?ÿÿ,81060105,,,/,/,/,,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,,,,,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,,8.531526,98.865264
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿ?ÿÿÿÿ,ÿÿÿ?ÿÿÿÿ,ÿÿÿÿÿÿ,7,ÿ?ÿÿÿÿ,81060107,,,/,/,,/,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,,,,,ÿÿÿÿ?,ÿÿÿÿ?,,8.551603,98.908348
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿ?ÿÿÿÿ,ÿÿÿ?ÿÿÿÿ,ÿÿÿÿÿÿ,9,?ÿÿÿ?,81060109,,,/,/,,/,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,,,ÿÿÿÿ?,,ÿÿÿÿ?,,,,,ÿÿÿÿ?,ÿÿÿÿ?,,8.592321,98.902478
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿ?ÿÿ?ÿÿ,ÿÿ?ÿÿÿ?ÿ,ÿÿÿÿÿ,,,81010251,ÿÿ?ÿÿ?ÿ?,,,/,,,,/,,,,/,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,ÿÿÿÿ?,,,,,,,8.107777,98.910808
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿ?ÿÿ?ÿÿ,ÿÿ?ÿÿÿ?ÿ,ÿÿÿÿÿ,,,81010250,ÿÿÿ?ÿÿ??ÿÿ,,/,/,,,,/,,,,/,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,ÿÿÿÿ?,,,,,,,8.097599,98.913274
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿ?ÿÿ?ÿÿ,ÿ?ÿÿ?,ÿÿÿÿÿÿ,4,ÿÿÿÿÿÿ,81011104,,,,/,,,,/,,,,/,,,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,ÿÿÿÿ?,,,,,,,8.237958,98.892754
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿ?ÿÿ?ÿÿ,ÿ?ÿÿ?,ÿÿÿÿÿÿ,6,ÿÿ?ÿ?ÿ,81011106,,,/,,,,,/,,,,/,,,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,ÿÿÿÿ?,,,,,,,8.140123,98.892519
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿ?ÿÿ?ÿÿ,ÿ?ÿÿ?,ÿÿÿÿÿÿ,8,ÿÿ?ÿ?,81011108,,,/,,,,,/,,,,/,,,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,ÿÿÿÿ?,,,,,,,8.115674,98.907314
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ??,ÿ?ÿ?ÿ,ÿÿÿÿÿÿ,2,ÿÿÿ??,81070202,,,/,,,,,/,,,/,,,ÿÿÿÿ?,,ÿÿÿÿ?,,,,,,,,,,,,ÿÿÿÿ?,8.088238,99.332143
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ??,ÿ?ÿ?ÿ,ÿÿÿÿÿÿ,4,ÿ??,81070204,,/,/,,,,/,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,,ÿÿÿÿ?,,ÿÿÿÿ?,,,,,ÿÿÿÿ?,,,,ÿÿÿÿ?,8.086555,99.367817
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ??,ÿÿÿÿ??,ÿÿÿÿÿÿ,4,ÿÿÿÿÿ,81070304,,/,,,,,,/,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,,ÿÿÿÿ?,,,,,,,ÿÿÿÿ?,,,,,8.048296,99.269419
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ?ÿ?ÿ?,?ÿ?,ÿÿÿÿÿÿ,1,ÿÿÿ?ÿÿ,81080501,,,,/,,/,,,,/,,,ÿÿÿÿ?,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,8.080809,99.053807
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ?ÿ?ÿ?,?ÿ?,ÿÿÿÿÿÿ,2,ÿÿÿÿ?ÿÿ,81080502,,,,/,,/,,,,,/,,,,,,,,,,,,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,8.071446,99.086246
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ?ÿ?ÿ?,?ÿ?,ÿÿÿÿÿÿ,3,ÿ?ÿÿÿÿÿÿ,81080503,,,,/,,/,,,,,/,,,,,,ÿÿÿÿ?,,,,,,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,8.119806,99.089557
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ?ÿ?ÿ?,?ÿ?,ÿÿÿÿÿÿ,4,?ÿ?,81080504,,,/,/,,/,,,,,/,,,,,,,,,,,,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,8.080505,99.072250
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ?ÿ?ÿ?,?ÿ?,ÿÿÿÿÿÿ,5,ÿ?ÿÿÿ,81080505,,,,/,,/,,,,,/,,,,,,ÿÿÿÿ?,,,,,,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,8.045827,99.082333
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ?ÿ?ÿ?,?ÿ?,ÿÿÿÿÿÿ,6,ÿÿÿÿ?,81080506,,,,/,,/,,,,,/,,,,,,ÿÿÿÿ?,,,,,,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,8.090847,99.063094
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ?ÿ?ÿ?,?ÿ?,ÿÿÿÿÿÿ,7,ÿ?ÿÿ??ÿÿÿ,81080507,,,,/,,/,,,,,/,,,,,,ÿÿÿÿ?,,,,,,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,8.081683,99.088696
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿ?ÿ?ÿ?,ÿÿÿÿÿÿ,ÿÿÿÿÿÿ,1,ÿÿÿÿÿÿ,81080701,,/,/,/,,,/,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,8.026336,99.041670
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿÿÿ?,ÿÿÿ?ÿ,ÿÿÿÿÿÿ,3,ÿÿ?ÿÿ,81050703,,/,,,,,/,,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,,,8.437150,98.742538
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿÿÿ?,ÿÿÿ?ÿ,ÿÿÿÿÿÿ,5,ÿ?ÿ?,81050705,,/,,,,,,/,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,,,,,8.467318,98.735984
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿÿÿ?,ÿÿ?ÿ?,ÿÿÿÿÿÿ,1,ÿÿÿ?ÿÿÿÿ?,81050401,,/,,,,,,/,,,,/,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,ÿÿÿÿ?,,,,,,,,8.283502,98.799397
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿÿÿ?,ÿÿ?ÿÿ?,ÿÿÿÿÿÿ,1,ÿ?ÿÿ,81050901,,/,,,,,,/,,,/,,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,,,ÿÿÿÿ?,,ÿÿÿÿ?,,,8.365045,98.785344
ÿÿÿÿÿÿÿÿ?ÿ?,ÿÿ?ÿÿ,ÿÿÿÿÿ?,ÿÿÿÿÿ?ÿÿÿÿ,ÿÿÿÿÿÿ,1,ÿÿÿÿ?ÿ,81050501,,,,/,/,,,,,,/,,,,,ÿÿÿÿ?,,,,,,,,ÿÿÿÿ?,,,,,8.311043,98.755654
ÿÿÿÿÿÿÿÿ?ÿ?ÿÿ?,ÿÿ?ÿÿ,ÿÿÿÿ?ÿÿ,ÿÿ?ÿ?,ÿÿÿÿÿÿ,3,ÿ?ÿÿ?,81030303,,/,,,,,,/,,,/,,ÿÿÿÿ?,,ÿÿÿÿ?,ÿÿÿÿ?,,,,,,ÿÿÿÿ?,,,,ÿÿÿÿ?,,,7.766671,99.024083
